CODIGO_MESA|DESCRIPCION|CODIGO_PAIS|NOMBRE_PAIS|CODIGO_DEPARTAMENTO|NOMBRE_DEPARTAMENTO|CODIGO_PROVINCIA|NOMBRE_PROVINCIA|CODIGO_SECCION|NOMBRE_MUNICIPIO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|CODIGO_RECINTO|NOMBRE_RECINTO|NUMERO_MESA|INSCRITOS_HABILITADOS|MNR|MAS-IPSP|LIBRES|MTS|FRI|VOCES|VOTO_VALIDO|VOTO_BLANCO|VOTO_NULO|VOTO_EMITIDO|VOTO_VALIDO_SISTEMA|VOTO_EMITIDO_SISTEMA
7000011|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|1|220|0|59|40|2|5|68|174|1|4|179|174|179
7000021|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|2|220|0|66|45|2|1|68|182|2|2|186|182|186
7000031|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|3|220|0|57|34|2|2|80|175|1|10|186|175|186
7000041|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|4|220|0|70|43|0|1|56|170|1|12|183|170|183
7000051|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|5|220|0|48|40|0|1|89|178|0|6|184|178|184
7000061|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|6|220|0|61|42|3|2|81|189|0|10|199|189|199
7000071|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|7|220|0|76|39|1|1|63|180|1|7|188|180|188
7000081|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|8|220|0|37|41|0|1|93|172|0|5|177|172|177
7000091|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|9|220|0|78|35|1|0|66|180|1|12|193|180|193
7000101|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|10|220|0|67|28|0|0|64|159|0|8|167|159|167
7000111|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11008|Esc. Tomas Jose Morales|11|50|0|3|12|0|0|27|42|0|0|42|42|42
7000121|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11025|Esc. Jose Vicente Soliz Y Ramos|1|220|0|64|37|0|1|57|159|2|4|165|159|165
7000131|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11025|Esc. Jose Vicente Soliz Y Ramos|2|220|0|62|41|0|0|72|175|1|3|179|175|179
7000141|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11025|Esc. Jose Vicente Soliz Y Ramos|3|220|0|53|30|1|2|64|150|0|6|156|150|156
7000151|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11025|Esc. Jose Vicente Soliz Y Ramos|4|220|0|68|37|1|0|50|156|1|10|167|156|167
7000161|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11025|Esc. Jose Vicente Soliz Y Ramos|5|220|0|58|32|0|0|75|165|4|6|175|165|175
7000171|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11025|Esc. Jose Vicente Soliz Y Ramos|6|220|0|61|36|0|3|69|169|1|7|177|169|177
7000181|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11025|Esc. Jose Vicente Soliz Y Ramos|7|220|0|53|36|1|1|73|164|1|8|173|164|173
7000191|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11025|Esc. Jose Vicente Soliz Y Ramos|8|220|0|56|43|1|1|69|170|0|10|180|170|180
7000201|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2250|La Guardia|11025|Esc. Jose Vicente Soliz Y Ramos|9|220|0|91|34|2|0|54|181|1|4|186|181|186
